id,title,story_ref,story_type,need,type,severity,inclusion_risk,evidence,notes,candidate_fix
1,Filter selection resets on page reload,stories.md#S1,Job story,Reduce cognitive load,Usability,Medium(2),"Cognitive,Memory","P-A notes L5",Current implementation doesn't persist filter state in session or URL,false
2,No confirmation after form submission,stories.md#S2,Job story,Trust & feedback,Accessibility,High(3),"Cognitive,SR,Low digital literacy","P-A notes L12; P-B notes L8",HTMX shows status in live region (good) but no-JS path gives no feedback (PRG redirect with no message),true
3,Delete button not keyboard-accessible,stories.md#S3,Job story,Full keyboard access,Accessibility,High(3),"Keyboard,Motor","P-A notes L20; WCAG 2.1.1","Inline form works but focus order unclear; test with Tab-only navigation",true
4,Text contrast below 4.5:1 in default theme,stories.md#S4,Job story,Visibility,Accessibility,Medium(2),"Low vision,Colour-blind,Situational","P-A notes L28; WCAG 1.4.3",Pico.css default gray (#6c757d) on white = 4.2:1 (fails AA); needs adjustment,false
5,No progress indicator for completed tasks,stories.md#S5,Job story,Motivation & feedback,Usability,Low(1),Cognitive,"P-A notes L35; P-B notes L15",Nice-to-have; defer to Semester 2 backlog,false
6,Error messages not persistent in no-JS path,stories.md#S6,Pain point,Error recovery,Accessibility,High(3),"Cognitive,SR","Internal testing; WCAG 3.3.1",PRG redirect loses error context; need error summary on target page,true
7,Skip link not tested with screen reader,Internal audit,WCAG check,Bypass blocks,Accessibility,Medium(2),SR,"WCAG 2.4.1",Lab 1 tested keyboard focus but not SR announcement; verify with NVDA,false
8,Live region uses polite (should be assertive for errors),Internal audit,WCAG check,Error announcement,Accessibility,High(3),SR,"WCAG 4.1.3",Errors need aria-live=assertive so SR interrupts to announce; success messages stay polite,false

id,title,story_ref,story_type,need,type,severity,inclusion_risk,evidence,notes,candidate_fix
9,Delete button text contrast 4.2:1 (fails AA),wk07/audit/axe-report.md#Issue2,WCAG violation,Visibility,Accessibility,High,"Low vision,Situational","axe: color-contrast; WCAG 1.4.3","Pico.css default gray #6c757d on white = 4.2:1; needs 4.5:1",true
10,Focus outline too faint (Pico.css default),wk07/audit/wcag-checklist.md#2.4.7,WCAG partial,Visibility,Accessibility,Medium,Keyboard,"Manual test: outline visible but faint","Add custom :focus { outline: 3px solid #1976d2; }",true
11,No confirmation for delete action,wk07/audit/heuristics.md#H3,Heuristic violation,Error prevention,Usability,Medium,"Motor,Cognitive","Nielsen H3 + H5","Accidental clicks cause permanent deletion; add confirmation dialog",false
12,No undo feature for delete,wk07/audit/heuristics.md#H3,Heuristic violation,User control,Usability,Low,"Motor,Cognitive","Nielsen H3","Defer to Semester 2; requires state management",false
13,No help documentation or tooltips,wk07/audit/heuristics.md#H10,Heuristic violation,Learning support,Usability,Low,Cognitive,"Nielsen H10","Defer to Semester 2; low priority",false
